FTR,HomeTeam,AwayTeam,B365H,B365D,B365A
A,Burnley,Swansea,2.4,3.3,3.25
A,Crystal Palace,West Brom,2,3.3,4.5
D,Everton,Tottenham,3.2,3.4,2.4
H,Hull,Leicester,4.5,3.6,1.91
H,Man City,Sunderland,1.25,6.5,15
D,Middlesbrough,Stoke,2.38,3.2,3.4
D,Southampton,Watford,1.8,3.75,5
A,Arsenal,Liverpool,2.4,3.5,3.1
A,Bournemouth,Man United,4.75,3.6,1.85
H,Chelsea,West Ham,1.65,4,6
H,Man United,Southampton,1.53,4.2,7.5
H,Burnley,Liverpool,6.5,4.2,1.57
D,Leicester,Arsenal,2.88,3.6,2.5
A,Stoke,Man City,5.5,3.8,1.73
A,Swansea,Hull,1.8,3.6,5.25
H,Tottenham,Crystal Palace,1.45,4.75,8
A,Watford,Chelsea,5.5,3.8,1.73
A,West Brom,Everton,3,3.25,2.6
A,Sunderland,Middlesbrough,2.55,3.2,3.1
H,West Ham,Bournemouth,1.95,3.75,4
H,Chelsea,Burnley,1.25,5.5,15
D,Crystal Palace,Bournemouth,2.3,3.2,3.3
H,Everton,Stoke,1.73,3.6,5.25
A,Hull,Man United,8,4.1,1.44
H,Leicester,Swansea,1.73,3.6,5.25
D,Southampton,Sunderland,1.57,3.6,6.5
D,Tottenham,Liverpool,2.38,3.4,3
A,Watford,Arsenal,5,3.75,1.73
H,Man City,West Ham,1.25,6,11
D,West Brom,Middlesbrough,2.6,3.1,2.9
H,Arsenal,Southampton,1.57,4.2,6.5
H,Bournemouth,West Brom,2.05,3.25,4.33
D,Burnley,Hull,2.45,3.1,3.4
H,Liverpool,Leicester,1.7,4,5.5
A,Man United,Man City,2.38,3.25,3.4
A,Middlesbrough,Crystal Palace,2.3,3.2,3.6
A,Stoke,Tottenham,4.6,3.75,1.85
A,West Ham,Watford,1.91,3.6,4.5
D,Swansea,Chelsea,5.75,4,1.67
A,Sunderland,Everton,3.8,3.5,2.1
A,Chelsea,Liverpool,2.25,3.5,3.4
H,Everton,Middlesbrough,1.67,3.8,6
A,Hull,Arsenal,6,4.2,1.6
H,Leicester,Burnley,1.5,4.33,8
H,Man City,Bournemouth,1.29,6,12
H,West Brom,West Ham,2.8,3.2,2.8
H,Crystal Palace,Stoke,2,3.5,4.2
H,Southampton,Swansea,1.7,3.8,5.75
H,Tottenham,Sunderland,1.33,5.5,11
H,Watford,Man United,6,4.2,1.62
H,Arsenal,Chelsea,2.4,3.5,3.1
H,Bournemouth,Everton,3.6,3.5,2.15
H,Liverpool,Hull,1.22,7,15
H,Man United,Leicester,1.73,3.9,5.25
A,Middlesbrough,Tottenham,3.75,3.5,2.1
D,Stoke,West Brom,2.38,3.3,3.3
A,Sunderland,Crystal Palace,2.88,3.25,2.7
A,Swansea,Man City,9,5.5,1.36
A,West Ham,Southampton,2.8,3.3,2.75
H,Burnley,Watford,2.9,3.2,2.7
D,Everton,Crystal Palace,1.73,4,5
A,Hull,Chelsea,7.5,4.5,1.5
D,Sunderland,West Brom,2.5,3.25,3.2
A,Swansea,Liverpool,8,4.75,1.45
D,Watford,Bournemouth,2.38,3.3,3.3
D,West Ham,Middlesbrough,2.25,3.4,3.5
A,Burnley,Arsenal,9,5,1.4
D,Leicester,Southampton,2.25,3.4,3.5
D,Man United,Stoke,1.33,5.75,10
H,Tottenham,Man City,3,3.5,2.5
H,Arsenal,Swansea,1.29,6.5,11
H,Bournemouth,Hull,1.85,3.5,5
H,Chelsea,Leicester,1.57,4.5,6
A,Crystal Palace,West Ham,2.15,3.5,3.6
D,Man City,Everton,1.5,4.75,7
H,Stoke,Sunderland,2,3.6,4
D,West Brom,Tottenham,5.5,3.8,1.73
A,Middlesbrough,Watford,2.25,3.3,3.6
H,Southampton,Burnley,1.4,4.8,9.5
D,Liverpool,Man United,2.2,3.5,3.5
D,Arsenal,Middlesbrough,1.25,6.5,15
D,Bournemouth,Tottenham,4.2,3.6,1.95
H,Burnley,Everton,6,3.8,1.67
A,Hull,Stoke,3.1,3.3,2.5
H,Leicester,Crystal Palace,2.05,3.5,3.9
H,Liverpool,West Brom,1.29,6,13
D,Swansea,Watford,2.38,3.3,3.3
H,West Ham,Sunderland,1.67,4,5.75
H,Chelsea,Man United,2.15,3.4,3.8
D,Man City,Southampton,1.5,4.5,7.5
A,Crystal Palace,Liverpool,5.25,4,1.7
D,Man United,Burnley,1.2,7,19
H,Middlesbrough,Bournemouth,2.5,3.2,3.2
A,Sunderland,Arsenal,9,5,1.4
D,Tottenham,Leicester,1.62,4.2,6
H,Watford,Hull,1.75,3.75,5.25
A,West Brom,Man City,8,4.75,1.44
H,Everton,West Ham,1.8,3.8,4.75
A,Southampton,Chelsea,3.2,3.4,2.4
H,Stoke,Swansea,2.05,3.6,3.8
A,Bournemouth,Sunderland,1.65,4.2,5.5
H,Burnley,Crystal Palace,3.3,3.3,2.38
H,Chelsea,Everton,1.53,4.33,7
D,Man City,Middlesbrough,1.22,7,15
D,West Ham,Stoke,2,3.6,4
D,Arsenal,Tottenham,1.95,3.6,4.2
H,Hull,Southampton,5.75,3.8,1.7
A,Leicester,West Brom,1.8,3.6,5.25
H,Liverpool,Watford,1.29,6,12
A,Swansea,Man United,5,4,1.73
A,Crystal Palace,Man City,6.5,4.5,1.53
D,Everton,Swansea,1.6,4.33,6
D,Man United,Arsenal,2.6,3.4,2.9
D,Southampton,Liverpool,3.4,3.6,2.2
A,Stoke,Bournemouth,2.3,3.4,3.4
H,Sunderland,Hull,2.15,3.4,3.8
H,Tottenham,West Ham,1.5,4.5,7.5
H,Watford,Leicester,2.8,3.3,2.75
A,Middlesbrough,Chelsea,7,4,1.57
H,West Brom,Burnley,1.95,3.4,4.5
A,Burnley,Man City,9,6,1.33
H,Chelsea,Tottenham,1.75,3.8,5.25
D,Hull,West Brom,3.1,3.2,2.6
D,Leicester,Middlesbrough,1.91,3.6,4.5
H,Liverpool,Sunderland,1.17,8.5,19
H,Swansea,Crystal Palace,2.63,3.4,2.88
H,Arsenal,Bournemouth,1.4,5,9
D,Man United,West Ham,1.45,4.75,8
H,Southampton,Everton,2.2,3.4,3.6
A,Watford,Stoke,2.4,3.3,3.3
H,Crystal Palace,Southampton,3.5,3.3,2.3
A,Man City,Chelsea,2.15,3.6,3.6
H,Stoke,Burnley,1.62,4,6.5
H,Sunderland,Leicester,3.4,3.4,2.3
H,Tottenham,Swansea,1.36,5.5,9
H,West Brom,Watford,2.2,3.3,3.75
A,West Ham,Arsenal,4.75,4.2,1.75
H,Bournemouth,Liverpool,5,4,1.75
D,Everton,Man United,3.6,3.5,2.15
H,Middlesbrough,Hull,1.83,3.5,5.25
H,Arsenal,Stoke,1.35,5.5,9.5
H,Burnley,Bournemouth,3.5,3.5,2.2
D,Hull,Crystal Palace,3.5,3.3,2.3
H,Leicester,Man City,5.25,4,1.7
H,Swansea,Sunderland,2.15,3.5,3.6
H,Watford,Everton,3.1,3.4,2.45
H,Chelsea,West Brom,1.25,6.25,15
D,Liverpool,West Ham,1.3,6,11
H,Man United,Tottenham,2.2,3.4,3.6
H,Southampton,Middlesbrough,1.7,3.7,6
H,Bournemouth,Leicester,2.4,3.4,3.2
H,Everton,Arsenal,4.2,3.75,1.91
A,Crystal Palace,Man United,5.25,4,1.7
H,Man City,Watford,1.29,6.5,11
A,Middlesbrough,Liverpool,6,4.33,1.6
D,Stoke,Southampton,3.1,3.3,2.5
A,Sunderland,Chelsea,10,5.75,1.33
H,Tottenham,Hull,1.22,7,15
H,West Brom,Swansea,2.05,3.5,4
H,West Ham,Burnley,1.67,4,5.75
A,Crystal Palace,Chelsea,6.5,4.2,1.57
H,Middlesbrough,Swansea,2.1,3.4,4
D,Stoke,Leicester,2.6,3.4,2.9
H,Sunderland,Watford,2.63,3.3,2.9
A,West Brom,Man United,5.75,3.8,1.7
H,West Ham,Hull,1.62,4.1,6
A,Bournemouth,Southampton,3,3.3,2.6
H,Man City,Arsenal,2.15,3.6,3.5
H,Tottenham,Burnley,1.22,7,15
A,Everton,Liverpool,4.2,3.6,1.95
H,Arsenal,West Brom,1.33,5.5,8.5
H,Burnley,Middlesbrough,2.9,3.1,2.6
H,Chelsea,Bournemouth,1.36,5,8.5
A,Hull,Man City,10,5.5,1.3
A,Leicester,Everton,2.5,3.3,2.9
H,Man United,Sunderland,1.22,6.5,13
A,Swansea,West Ham,2.63,3.2,2.8
D,Watford,Crystal Palace,2.5,3.3,2.9
H,Liverpool,Stoke,1.3,5.5,10
A,Southampton,Tottenham,2.8,3.25,2.6
D,Hull,Everton,4.33,3.5,1.95
H,Burnley,Sunderland,2.4,3.25,3.3
H,Chelsea,Stoke,1.25,6.5,14
H,Leicester,West Ham,2.1,3.6,3.7
H,Liverpool,Man City,2.35,3.6,3.1
H,Man United,Middlesbrough,1.25,6,16
A,Southampton,West Brom,1.75,3.7,5.5
A,Swansea,Bournemouth,2.9,3.4,2.6
H,Arsenal,Crystal Palace,1.29,5.5,9.5
A,Watford,Tottenham,5.5,3.75,1.62
H,Everton,Southampton,2.2,3.4,3.6
H,Man City,Burnley,1.17,8.5,19
D,Middlesbrough,Leicester,2.75,3.2,2.88
D,Sunderland,Liverpool,11,5.5,1.33
H,West Brom,Hull,1.75,3.7,5.5
A,West Ham,Man United,6,4,1.65
D,Bournemouth,Arsenal,4.33,3.4,1.85
A,Crystal Palace,Swansea,1.75,3.5,4.75
H,Stoke,Watford,1.8,3.5,4.5
H,Tottenham,Chelsea,2.63,3.25,2.63
H,Burnley,Southampton,3.6,3.4,2.2
H,Hull,Bournemouth,3.3,3.5,2.3
A,Leicester,Chelsea,6,4.1,1.62
A,Sunderland,Stoke,3.1,3.3,2.5
A,Swansea,Arsenal,7,4.75,1.5
H,Tottenham,West Brom,1.33,5.5,11
D,Watford,Middlesbrough,2.5,3.2,3.2
H,West Ham,Crystal Palace,2.38,3.4,3.2
H,Everton,Man City,4.5,4,1.8
D,Man United,Liverpool,2.15,3.4,3.75
D,Bournemouth,Watford,1.83,3.75,4.75
A,Crystal Palace,Everton,3.25,3.4,2.38
A,Liverpool,Swansea,1.22,7,15
D,Man City,Tottenham,2.15,3.5,3.6
A,Middlesbrough,West Ham,2.5,3.2,3.25
D,Stoke,Man United,6,4.2,1.6
H,West Brom,Sunderland,1.7,3.8,5.75
H,Arsenal,Burnley,1.2,7.5,17
H,Chelsea,Hull,1.18,8,19
H,Southampton,Leicester,1.83,3.5,5.25
A,Arsenal,Watford,1.22,7,15
A,Bournemouth,Crystal Palace,2.05,3.5,3.9
H,Burnley,Leicester,2.9,3.25,2.7
D,Liverpool,Chelsea,2.65,3.25,2.9
D,Middlesbrough,West Brom,2.7,3.1,3
D,Sunderland,Tottenham,9.5,5.25,1.36
H,Swansea,Southampton,3.4,3.4,2.3
D,Man United,Hull,1.2,7.5,17
D,Stoke,Everton,2.88,3.4,2.63
A,West Ham,Man City,6,4.5,1.57
H,Chelsea,Arsenal,1.95,3.6,4.2
A,Crystal Palace,Sunderland,1.7,3.9,5.5
H,Everton,Bournemouth,1.7,4,5.25
H,Hull,Liverpool,8,4.75,1.45
A,Southampton,West Ham,1.85,3.75,4.5
H,Tottenham,Middlesbrough,1.29,6,13
H,Watford,Burnley,2.15,3.3,3.9
H,West Brom,Stoke,2.3,3.25,3.5
A,Leicester,Man United,5.75,4,1.65
H,Man City,Swansea,1.22,7,15
H,Arsenal,Hull,1.29,6,13
H,Liverpool,Tottenham,2.3,3.4,3.4
H,Man United,Watford,1.25,6.5,14
D,Middlesbrough,Everton,3.9,3.3,2.15
H,Stoke,Crystal Palace,2.15,3.3,3.9
A,Sunderland,Southampton,3.9,3.4,2.1
D,West Ham,West Brom,2.25,3.3,3.6
D,Burnley,Chelsea,9,5,1.4
H,Swansea,Leicester,2.4,3.3,3.25
A,Bournemouth,Man City,7.5,5,1.44
H,Chelsea,Swansea,1.25,6.5,15
H,Crystal Palace,Middlesbrough,2.1,3.2,4.2
H,Everton,Sunderland,1.4,5.25,8.5
D,Hull,Burnley,2.15,3.3,3.9
D,Watford,West Ham,2.63,3.3,2.9
H,West Brom,Bournemouth,2.1,3.4,4
H,Tottenham,Stoke,1.44,5,7.5
H,Leicester,Liverpool,5.5,4.2,1.65
H,Leicester,Hull,1.85,3.6,4.75
H,Liverpool,Arsenal,2.15,3.6,3.6
D,Man United,Bournemouth,1.25,6.5,15
H,Stoke,Middlesbrough,1.95,3.4,4.5
H,Swansea,Burnley,2,3.5,4.2
A,Watford,Southampton,3.6,3.4,2.2
A,West Brom,Crystal Palace,2.2,3.3,3.8
A,Sunderland,Man City,11,6.5,1.29
H,Tottenham,Everton,1.67,4.2,5.25
A,West Ham,Chelsea,6,4.1,1.62
D,Man City,Stoke,1.25,6.5,15
H,Bournemouth,West Ham,2.6,3.5,2.8
H,Everton,West Brom,1.67,3.8,6
H,Hull,Swansea,2.55,3.3,3
H,Liverpool,Burnley,1.25,6.5,14
H,Bournemouth,Swansea,2.15,3.5,3.6
H,Crystal Palace,Watford,1.91,3.5,4.75
H,Everton,Hull,1.53,4.33,7
A,Stoke,Chelsea,6.5,4,1.62
D,Sunderland,Burnley,2.55,3.3,3
H,West Brom,Arsenal,5.25,4,1.73
A,West Ham,Leicester,2.3,3.5,3.3
D,Man City,Liverpool,2,3.75,3.8
A,Middlesbrough,Man United,6,3.7,1.7
H,Tottenham,Southampton,1.73,3.8,5.5
A,Burnley,Tottenham,5.75,3.8,1.7
A,Chelsea,Crystal Palace,1.3,5.75,12
H,Hull,West Ham,2.45,3.4,3.1
H,Leicester,Stoke,2.05,3.5,4
H,Liverpool,Everton,1.73,3.9,5.25
D,Man United,West Brom,1.36,5,11
D,Southampton,Bournemouth,1.65,4,6
H,Watford,Sunderland,1.85,3.6,4.75
D,Arsenal,Man City,3.1,3.75,2.3
D,Swansea,Middlesbrough,2,3.4,4.33
H,Burnley,Stoke,2.5,3.1,3.3
H,Leicester,Sunderland,1.45,4.5,8.5
D,Man United,Everton,1.57,4.2,6.5
H,Watford,West Brom,2.5,3.2,3.2
H,Arsenal,West Ham,1.4,5.25,8
H,Chelsea,Man City,2.4,3.5,3.1
H,Hull,Middlesbrough,2.05,3.3,4.2
D,Liverpool,Bournemouth,1.36,5.25,9.5
H,Southampton,Crystal Palace,1.83,3.7,4.75
A,Swansea,Tottenham,5,4,1.73
A,Bournemouth,Chelsea,6.5,4,1.6
H,Man City,Hull,1.2,7.5,17
D,Middlesbrough,Burnley,2.45,3.1,3.4
A,Stoke,Liverpool,4,3.75,1.95
H,Tottenham,Watford,1.25,6.5,15
A,West Brom,Southampton,3,3.3,2.55
H,West Ham,Swansea,2.1,3.6,3.7
H,Everton,Leicester,1.75,3.9,5
A,Sunderland,Man United,10,5.25,1.36
H,Crystal Palace,Arsenal,4.5,3.9,1.83
D,Crystal Palace,Leicester,1.73,3.6,4.75
H,Everton,Burnley,1.4,4.5,8
A,Southampton,Man City,4.33,4,1.73
H,Stoke,Hull,1.95,3.3,4
D,Sunderland,West Ham,3.3,3.25,2.2
H,Tottenham,Bournemouth,1.25,6,10
H,Watford,Swansea,2.4,3.3,2.9
H,Man United,Chelsea,2.55,3.2,2.8
A,West Brom,Liverpool,4,3.8,1.8
A,Middlesbrough,Arsenal,7,4,1.5
H,Bournemouth,Middlesbrough,1.85,3.75,4.5
H,Hull,Watford,1.91,3.7,4.33
H,Swansea,Stoke,2.2,3.4,3.6
D,West Ham,Everton,3.3,3.6,2.25
A,Burnley,Man United,5.75,4,1.67
A,Liverpool,Crystal Palace,1.5,4.75,7
H,Chelsea,Southampton,1.45,4.6,8.5
H,Arsenal,Leicester,1.6,4.5,5.75
A,Crystal Palace,Tottenham,5.5,4.2,1.65
H,Middlesbrough,Sunderland,2.3,3.4,3.4
D,Man City,Man United,1.91,3.75,4.2
A,Crystal Palace,Burnley,1.75,3.5,4.75
D,Southampton,Hull,1.6,3.75,5.75
D,Stoke,West Ham,2,3.5,3.6
A,Sunderland,Bournemouth,3,3.4,2.3
A,West Brom,Leicester,2.4,3.5,2.75
A,Everton,Chelsea,3.5,3.6,2
D,Man United,Swansea,1.36,4.75,8
D,Middlesbrough,Man City,13,5.25,1.25
H,Tottenham,Arsenal,1.85,3.75,4
A,Watford,Liverpool,5.75,4.5,1.5
H,West Ham,Tottenham,8.5,5.25,1.4
D,Bournemouth,Stoke,2.25,3.6,3.3
D,Burnley,West Brom,2.25,3.3,3.6
A,Hull,Sunderland,1.44,4.75,8
H,Leicester,Watford,1.57,4.2,6.5
H,Man City,Crystal Palace,1.29,6.5,11
H,Swansea,Everton,2.8,3.5,2.63
H,Arsenal,Man United,1.91,3.7,4.33
D,Liverpool,Southampton,1.62,4.2,6
H,Chelsea,Middlesbrough,1.17,9,19
A,Southampton,Arsenal,3.6,3.8,2.05
H,Everton,Watford,1.5,4.5,7.5
A,West Brom,Chelsea,10,5.25,1.36
H,Bournemouth,Burnley,1.91,3.75,4.2
H,Man City,Leicester,1.25,7,12
A,Middlesbrough,Southampton,4,3.6,2
A,Stoke,Arsenal,4.75,4.1,1.75
A,Sunderland,Swansea,4.2,3.8,1.91
H,Crystal Palace,Hull,2.1,3.6,3.75
H,Tottenham,Man United,1.73,3.9,5.25
A,West Ham,Liverpool,5.25,4,1.7
H,Chelsea,Watford,1.25,6.75,13
H,Arsenal,Sunderland,1.09,13,29
H,Man City,West Brom,1.14,9,23
D,Southampton,Man United,2.75,3.3,2.8
A,Leicester,Tottenham,4.5,3.8,1.85
H,Arsenal,Everton,1.45,5,7.5
A,Burnley,West Ham,2.45,3.5,3
H,Chelsea,Sunderland,1.14,9,23
A,Hull,Tottenham,7,4.75,1.5
D,Leicester,Bournemouth,2,3.6,4
H,Liverpool,Middlesbrough,1.14,9,23
H,Man United,Crystal Palace,2.5,3.3,3.1
A,Southampton,Stoke,1.8,3.8,4.75
H,Swansea,West Brom,2.1,3.5,3.75
A,Watford,Man City,11,6,1.3
H,Arsenal,Leicester,1.53,4.5,6.5
A,Brighton,Man City,11,5.5,1.33
A,Chelsea,Burnley,1.25,6.5,15
A,Crystal Palace,Huddersfield,1.83,3.6,5
H,Everton,Stoke,1.7,3.8,5.75
D,Southampton,Swansea,1.62,4,6.5
D,Watford,Liverpool,6,4.2,1.62
H,West Brom,Bournemouth,2.4,3.3,3.3
H,Man United,West Ham,1.3,5.75,12
A,Newcastle,Tottenham,5.5,4,1.7
A,Bournemouth,Watford,2,3.6,4
A,Burnley,West Brom,2.63,3.2,3
H,Leicester,Brighton,1.73,3.8,5.5
H,Liverpool,Crystal Palace,1.36,5.25,9.5
H,Southampton,West Ham,1.75,3.8,5.25
H,Stoke,Arsenal,4.5,3.8,1.85
A,Swansea,Man United,11,5,1.36
H,Huddersfield,Newcastle,2.5,3.25,3.2
A,Tottenham,Chelsea,2.1,3.6,3.75
D,Man City,Everton,1.33,5.75,10
A,Bournemouth,Man City,11,6,1.3
A,Crystal Palace,Swansea,1.95,3.5,4.33
D,Huddersfield,Southampton,3.9,3.4,2.1
H,Man United,Leicester,1.33,5.5,11
H,Newcastle,West Ham,2.3,3.4,3.4
D,Watford,Brighton,1.91,3.4,4
H,Chelsea,Everton,1.45,4.5,8.5
H,Liverpool,Arsenal,2.15,3.7,3.5
D,Tottenham,Burnley,1.25,6.5,15
D,West Brom,Stoke,2.4,3.1,3.5
H,Arsenal,Bournemouth,1.36,5.5,9
H,Brighton,West Brom,2.7,3.1,3
A,Everton,Tottenham,3.8,3.5,2.1
A,Leicester,Chelsea,4.75,3.9,1.8
H,Man City,Liverpool,1.85,4,4.2
A,Southampton,Watford,1.65,4,6
D,Stoke,Man United,7.5,4.5,1.5
H,Burnley,Crystal Palace,2.3,3.25,3.5
A,Swansea,Newcastle,2.4,3.25,3.3
H,West Ham,Huddersfield,1.95,3.5,4.5
H,Bournemouth,Brighton,2.15,3.4,3.8
A,Crystal Palace,Southampton,3,3.3,2.6
D,Huddersfield,Leicester,3.5,3.4,2.25
D,Liverpool,Burnley,1.29,6,13
H,Newcastle,Stoke,2.38,3.25,3.4
D,Tottenham,Swansea,1.22,7,15
A,Watford,Man City,9,6,1.33
D,West Brom,West Ham,2.38,3.25,3.4
D,Chelsea,Arsenal,1.8,4,4.5
H,Man United,Everton,1.36,5.25,10
D,Burnley,Huddersfield,2.15,3.25,3.9
H,Everton,Bournemouth,1.65,4,5.75
A,Leicester,Liverpool,4.1,3.9,1.91
H,Man City,Crystal Palace,1.14,10,21
A,Southampton,Man United,5.5,3.8,1.73
A,Stoke,Chelsea,6,4.1,1.62
A,Swansea,Watford,2.4,3.3,3.25
A,West Ham,Tottenham,6,4.33,1.6
H,Brighton,Newcastle,2.8,3.1,2.9
H,Arsenal,West Brom,1.33,5.5,11
D,Bournemouth,Leicester,2.8,3.25,2.5
A,Chelsea,Man City,2.75,3.3,2.5
A,Huddersfield,Tottenham,8.5,4.75,1.36
H,Man United,Crystal Palace,1.17,7,15
H,Stoke,Southampton,2.88,3.2,2.45
D,West Brom,Watford,2.15,3.2,3.5
H,West Ham,Swansea,1.8,3.5,4.5
H,Arsenal,Brighton,1.2,6.5,13
A,Everton,Burnley,1.67,3.6,5.75
D,Newcastle,Liverpool,5,3.8,1.67
D,Burnley,West Ham,2.75,3.25,2.8
H,Crystal Palace,Chelsea,9,5,1.4
D,Liverpool,Man United,2.8,3.25,2.8
H,Man City,Stoke,1.14,9.5,21
H,Swansea,Huddersfield,2.2,3.25,3.75
H,Tottenham,Bournemouth,1.2,8,15
H,Watford,Arsenal,5.25,4.33,1.65
D,Brighton,Everton,3.25,3.3,2.4
D,Southampton,Newcastle,1.91,3.6,4.5
D,Leicester,West Brom,2.05,3.4,4.2
A,West Ham,Brighton,1.83,3.5,5.25
H,Chelsea,Watford,1.36,5.25,10
H,Huddersfield,Man United,11,5,1.36
H,Man City,Burnley,1.11,12,26
H,Newcastle,Crystal Palace,2,3.5,4.2
H,Southampton,West Brom,1.85,3.39,5.25
A,Stoke,Bournemouth,2.14,3.5,3.6
A,Swansea,Leicester,2.79,3.25,2.75
A,Everton,Arsenal,3.79,3.6,2.04
H,Tottenham,Liverpool,2.25,3.5,3.39
H,Arsenal,Swansea,1.25,7,12
A,Bournemouth,Chelsea,6,4.2,1.61
D,Crystal Palace,West Ham,2.39,3.29,3.29
H,Liverpool,Huddersfield,1.25,6.75,13
H,Man United,Tottenham,2.14,3.39,3.79
A,Watford,Stoke,2.04,3.6,3.79
A,West Brom,Man City,11,6.5,1.28
D,Brighton,Southampton,3.29,3.2,2.45
H,Leicester,Everton,2.14,3.39,3.75
H,Burnley,Newcastle,2.89,3.2,2.7
H,Huddersfield,West Brom,2.79,3,3
A,Newcastle,Bournemouth,2,3.5,4.2
A,Southampton,Burnley,1.66,3.75,6.5
D,Stoke,Leicester,2.7,3.29,2.87
A,Swansea,Brighton,2.39,3.2,3.39
A,West Ham,Liverpool,5.25,4.33,1.66
H,Chelsea,Man United,2.5,3.2,3.2
H,Everton,Watford,2.2,3.39,3.6
H,Man City,Arsenal,1.39,5.5,7.5
H,Tottenham,Crystal Palace,1.28,6,12
H,Arsenal,Tottenham,2.5,3.6,2.89
H,Bournemouth,Huddersfield,1.83,3.5,5.25
H,Burnley,Swansea,2.14,3.2,4
D,Crystal Palace,Everton,2.39,3.25,3.29
A,Leicester,Man City,9.5,5.75,1.33
H,Liverpool,Southampton,1.39,5,9
H,Man United,Newcastle,1.28,5.75,13
A,West Brom,Chelsea,6.5,4,1.61
H,Watford,West Ham,2.1,3.5,3.75
D,Brighton,Stoke,2.39,3.2,3.39
